date,open,close,high,low,volume
2020-01-02,4121.35,4152.24,4172.66,4121.35,182116772.0
2020-01-03,4161.22,4144.96,4164.3,4131.86,142826244.0
2020-01-06,4120.52,4129.3,4170.64,4102.38,175309953.0
2020-01-07,4137.4,4160.23,4161.25,4135.1,139489031.0
2020-01-08,4139.63,4112.32,4149.81,4101.98,167585850.0
2020-01-09,4145.53,4164.37,4165.66,4143.59,136886324.0
2020-01-10,4177.58,4163.19,4180.98,4148.48,113031719.0
2020-01-13,4166.93,4203.99,4203.99,4148.6,119691982.0
2020-01-14,4215.16,4189.89,4223.51,4188.08,129320783.0
2020-01-15,4186.88,4166.73,4193.87,4150.88,104633136.0
2020-01-16,4174.82,4149.04,4175.29,4142.18,100267642.0
2020-01-17,4162.19,4154.85,4177.03,4141.65,98725682.0
2020-01-20,4170.74,4185.83,4185.96,4149.49,122409147.0
2020-01-21,4165.02,4114.31,4165.02,4113.33,130527507.0
2020-01-22,4093.8,4131.93,4141.18,4046.49,126758763.0
2020-01-23,4093.32,4003.9,4103.52,3972.39,160357603.0
2020-02-03,3639.91,3688.36,3732.16,3639.91,157559647.0
2020-02-04,3652.0,3785.64,3786.86,3652.0,213933328.0
2020-02-05,3801.1,3828.53,3866.01,3781.61,174925524.0
2020-02-06,3841.75,3899.78,3914.92,3806.96,176462235.0
2020-02-07,3879.55,3899.87,3899.88,3849.71,151731759.0
2020-02-10,3872.37,3916.01,3920.17,3861.01,148406969.0
2020-02-11,3926.42,3952.46,3970.52,3915.71,143441674.0
2020-02-12,3945.67,3984.43,3984.43,3940.67,126710321.0
2020-02-13,3985.88,3959.92,3999.55,3950.14,145001843.0
2020-02-14,3954.23,3987.73,4001.56,3954.02,143239803.0
2020-02-17,3999.65,4077.42,4077.45,3999.65,182778969.0
2020-02-18,4069.83,4057.51,4076.39,4027.79,163236220.0
2020-02-19,4049.59,4051.31,4085.17,4042.85,169046441.0
2020-02-20,4062.9,4144.66,4148.53,4055.81,212232624.0
2020-02-21,4134.87,4149.49,4184.44,4130.17,217213604.0
2020-02-24,4131.84,4132.84,4149.01,4097.18,212869303.0
2020-02-25,4066.3,4123.85,4126.71,4020.91,244167831.0
2020-02-26,4070.1,4073.02,4132.78,4061.12,261094061.0
2020-02-27,4084.08,4084.88,4110.53,4067.44,181290981.0
2020-02-28,3988.73,3940.05,4031.15,3928.07,230275093.0
2020-03-02,3968.84,4069.67,4092.54,3968.84,219313559.0
2020-03-03,4125.14,4091.36,4147.65,4067.91,219369777.0
2020-03-04,4078.5,4115.05,4115.26,4060.73,182424730.0
2020-03-05,4150.21,4206.73,4215.85,4127.04,231823115.0
2020-03-06,4158.2,4138.51,4181.31,4135.39,172475717.0
2020-03-09,4063.08,3997.13,4063.08,3995.13,208102035.0
2020-03-10,3975.23,4082.73,4093.0,3954.75,197416402.0
2020-03-11,4090.93,4028.43,4091.27,4028.4,161656111.0
2020-03-12,3976.11,3950.91,3987.43,3926.27,157060458.0
2020-03-13,3771.01,3895.31,3937.18,3765.15,188296722.0
2020-03-16,3899.86,3727.84,3899.86,3720.51,185968260.0
2020-03-17,3739.78,3709.68,3786.89,3618.31,166246129.0
2020-03-18,3729.69,3636.26,3775.85,3636.26,155037547.0
2020-03-19,3623.79,3589.09,3647.99,3503.19,180807407.0
2020-03-20,3629.51,3653.22,3663.95,3588.78,139603000.0
2020-03-23,3542.68,3530.31,3585.8,3523.79,137108790.0
2020-03-24,3598.65,3625.11,3627.76,3545.45,143103021.0
2020-03-25,3711.48,3722.52,3732.65,3685.99,153495958.0
2020-03-26,3692.61,3698.05,3736.25,3681.27,112310665.0
2020-03-27,3746.39,3710.06,3758.78,3709.92,124060995.0
2020-03-30,3657.46,3674.11,3690.64,3637.59,126876673.0
2020-03-31,3708.14,3686.16,3716.07,3676.2,111453025.0
2020-04-01,3682.3,3675.08,3731.78,3670.97,119352620.0
2020-04-02,3656.32,3734.53,3734.53,3652.32,115168209.0
2020-04-03,3721.48,3713.22,3738.83,3698.98,99825083.0
2020-04-07,3779.91,3798.02,3803.63,3772.21,142778030.0
2020-04-08,3776.42,3780.34,3793.0,3767.29,111389513.0
2020-04-09,3798.49,3792.81,3801.72,3785.31,100485032.0
2020-04-10,3794.84,3769.18,3824.74,3758.96,102444956.0
2020-04-13,3751.71,3753.26,3769.88,3740.19,79053343.0
2020-04-14,3777.83,3825.7,3825.76,3764.98,110637585.0
2020-04-15,3820.85,3797.36,3829.8,3793.44,108461984.0
2020-04-16,3777.8,3802.38,3807.36,3774.56,95947965.0
2020-04-17,3831.92,3839.49,3863.45,3821.42,132004301.0
2020-04-20,3845.46,3853.46,3853.8,3831.55,100013115.0
2020-04-21,3838.23,3808.05,3838.23,3780.0,102921888.0
2020-04-22,3789.13,3839.38,3839.38,3782.21,85899464.0
2020-04-23,3851.91,3829.75,3857.47,3826.56,95508450.0
2020-04-24,3826.31,3796.97,3827.21,3787.07,94844135.0
2020-04-27,3808.02,3822.77,3842.87,3793.77,95462735.0
2020-04-28,3835.35,3849.15,3859.68,3768.2,122093476.0
2020-04-29,3837.51,3867.03,3880.74,3833.72,95854590.0
2020-04-30,3880.41,3912.58,3921.7,3880.41,132917125.0
2020-05-06,3867.26,3936.25,3937.69,3865.99,139855675.0
2020-05-07,3937.59,3924.89,3941.48,3915.9,105514646.0
2020-05-08,3943.0,3963.62,3979.66,3935.98,116943341.0
2020-05-11,3974.76,3960.18,3998.1,3944.5,122673803.0
2020-05-12,3961.34,3960.24,3970.11,3930.21,98250554.0
2020-05-13,3946.64,3968.25,3972.53,3932.57,88190669.0
2020-05-14,3952.2,3925.22,3952.2,3924.05,88530004.0
2020-05-15,3941.12,3912.82,3945.2,3907.4,92618382.0
2020-05-18,3914.66,3922.91,3946.43,3898.4,112801762.0
2020-05-19,3963.78,3956.25,3966.85,3944.07,94015291.0
2020-05-20,3955.71,3935.22,3955.71,3923.92,100791150.0
2020-05-21,3950.6,3913.79,3951.74,3907.58,94861033.0
2020-05-22,3907.58,3824.06,3907.58,3818.15,103378360.0
2020-05-25,3828.32,3829.32,3835.63,3800.18,79033326.0
2020-05-26,3850.0,3872.77,3874.75,3844.48,77448076.0
2020-05-27,3873.7,3845.61,3873.7,3838.42,83711831.0
2020-05-28,3848.49,3856.63,3885.42,3818.43,93064054.0
2020-05-29,3838.38,3867.02,3872.3,3830.42,93813832.0
2020-06-01,3901.73,3971.34,3976.32,3901.73,136456652.0
