date,open,close,high,low,volume
2020-01-02,34.706,34.706,35.186,34.336,71845.0
2020-01-03,34.636,35.306,35.896,34.066,77885.0
2020-01-06,35.606,37.196,37.286,35.606,114183.0
2020-01-07,36.606,35.396,36.656,35.316,131848.0
2020-01-08,35.936,35.696,36.566,35.606,88047.0
2020-01-09,35.036,36.876,37.756,34.206,128554.0
2020-01-10,37.296,35.636,37.296,35.636,79708.0
2020-01-13,36.066,35.706,36.366,35.236,122323.0
2020-01-14,36.076,35.106,36.076,35.046,74245.0
2020-01-15,35.106,35.506,35.716,34.926,72963.0
2020-01-16,35.126,35.396,35.946,34.496,96725.0
2020-01-17,35.616,35.966,37.116,34.836,86568.0
2020-01-20,35.776,37.906,37.976,35.776,100611.0
2020-01-21,37.706,37.356,38.026,37.126,75958.0
2020-01-22,37.286,37.486,37.686,36.586,91871.0
2020-01-23,37.136,34.686,37.136,34.086,147999.0
2020-02-03,30.986,32.556,32.986,30.986,214415.0
2020-02-04,33.726,35.916,35.916,33.726,148635.0
2020-02-05,36.786,34.706,36.786,34.586,130886.0
2020-02-06,35.706,35.556,35.906,34.866,90456.0
2020-02-07,35.226,36.136,36.816,34.486,130273.0
2020-02-10,35.946,37.136,37.576,35.536,126599.0
2020-02-11,37.706,38.716,39.186,36.706,136814.0
2020-02-12,38.226,38.106,39.206,37.766,104247.0
2020-02-13,38.236,38.156,38.806,37.856,75513.0
2020-02-14,37.946,38.206,38.706,37.786,67204.0
2020-02-17,38.706,39.296,39.686,37.706,120656.0
2020-02-18,39.286,37.856,39.286,37.206,146221.0
2020-02-19,37.516,37.366,38.156,37.136,75202.0
2020-02-20,37.686,37.696,37.796,36.946,90899.0
2020-02-21,37.696,38.316,38.706,37.056,120245.0
2020-02-24,37.396,36.436,37.536,35.176,243983.0
2020-02-25,34.996,35.046,36.266,34.206,190727.0
2020-02-26,34.606,34.716,35.356,33.906,155666.0
2020-02-27,34.506,35.146,35.286,34.396,122893.0
2020-02-28,34.006,32.306,34.136,31.916,178331.0
2020-03-02,32.306,32.936,33.516,32.186,202965.0
2020-03-03,34.706,34.676,36.016,33.996,294984.0
2020-03-04,33.936,33.566,34.486,33.096,148788.0
2020-03-05,33.916,33.726,34.116,33.116,108868.0
2020-03-06,33.386,33.766,34.526,32.726,142940.0
2020-03-09,30.156,30.156,30.156,30.156,87707.0
2020-03-10,27.706,29.246,29.986,27.706,429462.0
2020-03-11,29.506,28.346,31.106,28.266,252450.0
2020-03-12,27.506,26.946,28.006,26.606,264842.0
2020-03-13,25.206,25.906,26.336,24.076,270664.0
2020-03-16,25.966,23.626,26.506,23.186,254549.0
2020-03-17,24.056,23.536,24.396,23.326,192026.0
2020-03-18,23.636,22.676,24.456,22.676,232202.0
2020-03-19,22.616,22.176,23.096,21.246,270813.0
2020-03-20,22.846,23.316,24.066,22.716,350790.0
2020-03-23,22.366,20.756,22.396,20.756,304023.0
2020-03-24,21.386,20.856,21.386,20.116,292175.0
2020-03-25,21.396,21.496,22.306,21.206,270244.0
2020-03-26,21.366,20.986,21.576,20.876,177060.0
2020-03-27,21.366,20.496,21.476,20.476,210435.0
2020-03-30,19.566,19.266,19.756,18.486,293989.0
2020-03-31,19.606,19.816,20.396,19.446,256846.0
2020-04-01,19.656,20.426,20.596,19.656,313665.0
2020-04-02,20.236,22.696,22.696,19.666,477253.0
